"cell_type","sample","score"
"T cells","WT2921C_OE",13.0528066210385
"T cells","WT2910C_OE",18.8749815681143
"T cells","WT2898C_OE",26.7394160435724
"T cells","WT2965C_OE",14.8971448904985
"T cells","KO2912C_OE",39.0787758271174
"T cells","KO2918C_OE",11.3336660076828
"T cells","KO2960C_OE",47.4405717698063
"T cells","KO2913C_OE",47.0156944562626
"T cells","C2890WT",33.6607368734938
"T cells","C2917WT",10.0213960647694
"T cells","C2893WT",7.18769694259549
"T cells","WT2868C",2.34439545072898
"T cells","WT2881C",4.39957969016481
"T cells","WT2882C",6.96455634944875
"T cells","KO2868C",9.76280980298131
"T cells","KO2881C",7.73013367372036
"T cells","KO2882C",15.0594502320864
"CD8 T cells","WT2921C_OE",6.52640331051925
"CD8 T cells","WT2910C_OE",5.96052049519399
"CD8 T cells","WT2898C_OE",21.5640451964293
"CD8 T cells","WT2965C_OE",7.88672376555802
"CD8 T cells","KO2912C_OE",29.309081870338
"CD8 T cells","KO2918C_OE",27.8189983824941
"CD8 T cells","KO2960C_OE",45.1814969236251
"CD8 T cells","KO2913C_OE",23.5078472281313
"CD8 T cells","C2890WT",20.1964421240963
"CD8 T cells","C2917WT",5.56744225820523
"CD8 T cells","C2893WT",1.4375393885191
"CD8 T cells","WT2868C",1.17219772536449
"CD8 T cells","WT2881C",4.39957969016481
"CD8 T cells","WT2882C",2.32151878314958
"CD8 T cells","KO2868C",5.69497238507243
"CD8 T cells","KO2881C",19.8774865895666
"CD8 T cells","KO2882C",16.0006658715918
"NK cells","WT2921C_OE",3.8070685978029
"NK cells","WT2910C_OE",5.46381045392783
"NK cells","WT2898C_OE",3.45024723142869
"NK cells","WT2965C_OE",3.06705924216145
"NK cells","KO2912C_OE",4.88484697838967
"NK cells","KO2918C_OE",5.66683300384139
"NK cells","KO2960C_OE",9.60106809627033
"NK cells","KO2913C_OE",11.2428834569324
"NK cells","C2890WT",6.73214737469876
"NK cells","C2917WT",0
"NK cells","C2893WT",2.15630908277865
"NK cells","WT2868C",1.75829658804673
"NK cells","WT2881C",0.549947461270601
"NK cells","WT2882C",5.80379695787396
"NK cells","KO2868C",12.6102959955175
"NK cells","KO2881C",7.73013367372036
"NK cells","KO2882C",11.2945876740648
"B derived","WT2921C_OE",3.26320165525963
"B derived","WT2910C_OE",4.96710041266166
"B derived","WT2898C_OE",6.03793265500021
"B derived","WT2965C_OE",4.38151320308779
