"cell_type","WT2921C_OE","WT2910C_OE","WT2898C_OE","WT2965C_OE","KO2912C_OE","KO2918C_OE","KO2960C_OE","KO2913C_OE","C2890WT","C2917WT","C2893WT","WT2868C","WT2881C","WT2882C","KO2868C","KO2881C","KO2882C"
"T cells",13.0528066210385,18.8749815681143,26.7394160435724,14.8971448904985,39.0787758271174,11.3336660076828,47.4405717698063,47.0156944562626,33.6607368734938,10.0213960647694,7.18769694259549,2.34439545072898,4.39957969016481,6.96455634944875,9.76280980298131,7.73013367372036,15.0594502320864
"CD8 T cells",6.52640331051925,5.96052049519399,21.5640451964293,7.88672376555802,29.309081870338,27.8189983824941,45.1814969236251,23.5078472281313,20.1964421240963,5.56744225820523,1.4375393885191,1.17219772536449,4.39957969016481,2.32151878314958,5.69497238507243,19.8774865895666,16.0006658715918
"NK cells",3.8070685978029,5.46381045392783,3.45024723142869,3.06705924216145,4.88484697838967,5.66683300384139,9.60106809627033,11.2428834569324,6.73214737469876,0,2.15630908277865,1.75829658804673,0.549947461270601,5.80379695787396,12.6102959955175,7.73013367372036,11.2945876740648
"B derived",3.26320165525963,4.96710041266166,6.03793265500021,4.38151320308779,8.68417240602608,14.4246658279599,10.1658368078156,5.11040157133289,5.89062895286142,2.22697690328209,5.03138785981684,14.0663727043739,5.49947461270601,10.4468345241731,4.06783741790888,3.31291443159444,13.1770189530756
"Memory B cells",0,0,0,0,0,1.03033327342571,0,0,1.68303684367469,1.11348845164105,0,0,0,0,0,0,0
"Monocytes / macrophages",1228.05155626271,1033.15688583363,1054.91309100932,1176.87444634938,1453.51335645862,1439.37558297571,1478.56448682563,1323.59400697522,1324.54999597198,1025.5228639614,743.926633558633,868.598514495085,646.738214454227,825.299927409677,981.162385199622,1125.28660193158,1155.81280531263
"Monocytes",16.3160082762981,0.993420082532332,8.62561807857174,18.4023554529687,9.76969395677934,5.15166636712853,7.90676196163439,13.2870440854655,27.7701079206324,11.1348845164105,14.375393885191,7.03318635218693,12.0988441479532,8.12531574102354,10.5763772865631,7.73013367372036,4.706078197527
"Granulocytes",0,0,0,0,0,0,0,0,0,5.56744225820523,0,4.68879090145795,0,0,0,0,0
"Mast cells",0,16.8881414030497,4.31280903928587,2.62890792185267,1.08552155075326,3.09099982027712,9.03629938472502,22.4857669138647,1.68303684367469,6.68093070984627,20.8443211335269,0,1.0998949225412,0,0,1.10430481053148,0
"Eosinophils",0,1.98684016506466,0,3.50521056247023,14.1117801597924,0,9.03629938472502,10.2208031426658,3.36607368734938,0,0,0,0,0,1.62713496716355,0,0.9412156395054
"Neutrophils",0,0,0,0,1.08552155075326,0,0,0,0,0,0,0,0,0,0,2.20860962106296,0
"Basophils",35.8952182078559,28.8091823934376,30.1896632750011,14.8971448904985,48.8484697838967,25.7583318356427,13.5544490770875,27.5961684851976,20.1964421240963,21.1562805811799,27.3132483818628,52.7488976414019,54.9947461270601,34.8227817472437,19.5256196059626,28.7119250738185,48.9432132542808
"Vessels",448.146360655655,448.032457222082,598.617894652878,566.091505838943,1018.21921460656,819.114952373437,617.856970430573,632.667714531012,433.381987246233,459.870730527752,518.951719255394,515.766999160375,521.35019328453,582.701214570545,484.072652731157,457.182191560033,606.142871841478
"Lymphatics",23.9301454719039,31.2927325997685,9.9194607903575,10.9537830077195,10.312454732156,20.0914988318013,21.4612110387219,39.8611322563965,7.57366579653611,15.5888383229746,7.18769694259549,15.8246692924206,7.14931699651782,8.70569543681093,111.051961508912,43.0678876107277,10.3533720345594
"Endothelial cells",62.0008314499329,74.5065061899249,120.327372196076,90.2591719836085,173.140687345145,145.792158189738,76.8085447701627,107.829473155124,99.2991737768068,104.667914454258,111.0499177631,63.8847760323646,79.1924344229666,112.593660982755,87.8652882268318,82.822860789861,113.416484560401
"Fibroblasts",128.896465382755,168.38470398923,128.09042846679,128.816488170781,138.946758496417,180.823489486212,118.601429424516,133.892521168922,192.707718600752,208.222340456875,183.645656883315,73.8484566979627,109.43954479285,91.6999919344085,29.2884294089439,35.8899063422731,58.3553696493348
