"cell_type","group4","genotype","sex","n","mean_score","median_score","sd_score"
"B derived","KO_Female","KO","Female",3,6.85259026752631,4.06783741790888,5.49010708709453
"B derived","KO_Male","KO","Male",4,9.59626915328363,9.42500460692086,3.85541827390442
"B derived","WT_Female","WT","Female",6,7.19361259286889,5.69505178278372,4.28319600802647
"B derived","WT_Male","WT","Male",4,4.66243698150232,4.67430680787473,1.15781199129816
"Basophils","KO_Female","KO","Female",3,32.3935859780206,28.7119250738185,15.0504044555135
"Basophils","KO_Male","KO","Male",4,28.9393547954561,26.6772501604201,14.6627787284785
"Basophils","WT_Female","WT","Female",6,35.2053994338075,31.0680150645533,15.39137132608
"Basophils","WT_Male","WT","Male",4,27.4478021916983,29.4994228342194,8.9115841146232
"CD8 T cells","KO_Female","KO","Female",3,13.857708282077,16.0006658715918,7.33008374529339
"CD8 T cells","KO_Male","KO","Male",4,31.4543561011471,28.5640401264161,9.47627609167589
"CD8 T cells","WT_Female","WT","Female",6,5.84911999491658,3.3605492366572,7.23610084772653
"CD8 T cells","WT_Male","WT","Male",4,10.4844231919252,7.20656353803864,7.43051552862781
"Endothelial cells","KO_Female","KO","Female",3,94.7015445256979,87.8652882268318,16.4025380350473
"Endothelial cells","KO_Male","KO","Male",4,125.892715865042,126.810815672431,42.2843359613908
"Endothelial cells","WT_Female","WT","Female",6,95.1146462387085,101.983544115533,19.4784273569734
"Endothelial cells","WT_Male","WT","Male",4,86.7734704548855,82.3828390867667,25.1805248340346
"Eosinophils","KO_Female","KO","Female",3,0.856116868889651,0.9412156395054,0.816898647882231
"Eosinophils","KO_Male","KO","Male",4,8.34222067179579,9.6285512636954,5.96912276586965
"Eosinophils","WT_Female","WT","Female",6,0.561012281224897,0,1.37419382843578
"Eosinophils","WT_Male","WT","Male",4,1.37301268188372,0.993420082532332,1.70229057745859
"Fibroblasts","KO_Female","KO","Female",3,41.177901800184,35.8899063422731,15.2379108051851
"Fibroblasts","KO_Male","KO","Male",4,143.066049644017,136.419639832669,26.6161861164934
"Fibroblasts","WT_Female","WT","Female",6,143.260618227694,146.542600838082,58.1659759615036
"Fibroblasts","WT_Male","WT","Male",4,138.547021502389,128.856476776768,19.8950927486606
"Granulocytes","KO_Female","KO","Female",3,0,0,0
"Granulocytes","KO_Male","KO","Male",4,0,0,0
"Granulocytes","WT_Female","WT","Female",6,1.7093721932772,0,2.66268487227266
"Granulocytes","WT_Male","WT","Male",4,0,0,0
"Lymphatics","KO_Female","KO","Female",3,54.8244070513999,43.0678876107277,51.3684075337191
"Lymphatics","KO_Male","KO","Male",4,22.9315742147689,20.7763549352616,12.3299108952135
"Lymphatics","WT_Female","WT","Female",6,10.3383137979759,8.13968061667352,4.19697302476991
"Lymphatics","WT_Male","WT","Male",4,19.0240304674373,17.4419642398117,10.3700385649364
"Mast cells","KO_Female","KO","Female",3,0.368101603510493,0,0.637570679627749
"Mast cells","KO_Male","KO","Male",4,8.92464691740503,6.06364960250107,9.65055726887916
"Mast cells","WT_Female","WT","Female",6,5.05136393493151,1.39146588310795,8.12484184346257
"Mast cells","WT_Male","WT","Male",4,5.95746459104705,3.47085848056927,7.50011691699998
"Memory B cells","KO_Female","KO","Female",3,0,0,0
"Memory B cells","KO_Male","KO","Male",4,0.257583318356427,0,0.515166636712853
"Memory B cells","WT_Female","WT","Female",6,0.466087549219289,0,0.744183301059756
"Memory B cells","WT_Male","WT","Male",4,0,0,0
"Monocytes","KO_Female","KO","Female",3,7.67086305260348,7.73013367372036,2.9355983382575
"Monocytes","KO_Male","KO","Male",4,9.02879159275194,8.83822795920686,3.41431794618847
"Monocytes","WT_Female","WT","Female",6,13.4229554272329,11.6168643321818,7.51838543751568
"Monocytes","WT_Male","WT","Male",4,11.0843504725927,12.4708131774349,7.93296248552692
"Monocytes / macrophages","KO_Female","KO","Female",3,1087.42059748128,1125.28660193158,93.2795156032949
"Monocytes / macrophages","KO_Male","KO","Male",4,1423.76185830879,1446.44446971716,68.7164865547148
"Monocytes / macrophages","WT_Female","WT","Female",6,905.772691641835,846.949220952381,241.190931218909
"Monocytes / macrophages","WT_Male","WT","Male",4,1123.24899486376,1115.89376867935,94.2437438912471
"NK cells","KO_Female","KO","Female",3,10.5450057811009,11.2945876740648,2.52495560999926
"NK cells","KO_Male","KO","Male",4,7.84890788385844,7.63395055005586,3.06247413234852
"NK cells","WT_Female","WT","Female",6,2.83341624411145,1.95730283541269,2.78855158427063
"NK cells","WT_Male","WT","Male",4,3.94704638133022,3.6286579146158,1.05535993737515
"Neutrophils","KO_Female","KO","Female",3,0.736203207020987,0,1.2751413592555
"Neutrophils","KO_Male","KO","Male",4,0.271380387688315,0,0.54276077537663
"Neutrophils","WT_Female","WT","Female",6,0,0,0
"Neutrophils","WT_Male","WT","Male",4,0,0,0
"T cells","KO_Female","KO","Female",3,10.8507979029294,9.76280980298131,3.78384842222916
"T cells","KO_Male","KO","Male",4,36.2171770152173,43.04723514169,17.0289012814906
"T cells","WT_Female","WT","Female",6,10.7630602285335,7.07612664602212,11.5189697197108
"T cells","WT_Male","WT","Male",4,18.3910872808059,16.8860632293064,6.07271550027271
"Vessels","KO_Female","KO","Female",3,515.799238710889,484.072652731157,79.3867322726207
"Vessels","KO_Male","KO","Male",4,771.964712985395,725.891333452224,187.986945235372
"Vessels","WT_Female","WT","Female",6,505.337140674138,517.359359207884,52.4985619577771
"Vessels","WT_Male","WT","Male",4,515.22205459239,507.118933247299,78.6472248321549
