"gene","genotype","cor","p.value","n","p.adj"
"SYP","WT",0.671320647123286,0.033548658600746,10,0.266963062927617
"MKI67","WT",0.658353386470935,0.0384775648562629,10,0.266963062927617
"AMACR","WT",0.639616016867869,0.0464283587700203,10,0.266963062927617
"RB1","WT",0.377937209412325,0.281574478461006,10,0.647621300460314
"VIM","WT",0.330727953217927,0.350608002855046,10,0.664215117358749
"CDH1","WT",0.314943346673939,0.375425935898423,10,0.664215117358749
"NCAM1","WT",0.221070513559451,0.539357462762341,10,0.742279051181412
"INSM1","WT",0.219492101331591,0.542331606719883,10,0.742279051181412
"CHGA","WT",0.152978349954755,0.67308188277845,10,0.774044165195218
"MYC","WT",0.122083702564787,0.736886780917786,10,0.777658438217579
"TMPRSS2","WT",-0.0542831713767542,0.8816048442292,10,0.8816048442292
"TTF1","WT",-0.118759247565856,0.743847201773336,10,0.777658438217579
"AURKA","WT",-0.18281738531763,0.613187042280297,10,0.742279051181412
"TFRC","WT",-0.188950036876396,0.601115066051461,10,0.742279051181412
"AR","WT",-0.197583185932755,0.584268446777399,10,0.742279051181412
"BRCA1","WT",-0.273965386249364,0.443692832032988,10,0.728923938339909
"NKX3-1","WT",-0.323430291170828,0.361976705196217,10,0.664215117358749
"ERG","WT",-0.388958372790054,0.266613203709491,10,0.647621300460314
"ACP3","WT",-0.410788111520668,0.238300782435976,10,0.647621300460314
"SCG2","WT",-0.414451907751922,0.23372239476974,10,0.647621300460314
"BRCA2","WT",-0.515405034403994,0.127333127407692,10,0.488110321729484
"CHGB","WT",-0.580226551042826,0.0786658891678765,10,0.361863090172232
"PTEN","WT",-0.704876527285452,0.0228195277328024,10,0.266963062927617
"SYP","KO",0.770760570687596,0.0425252887997048,7,0.338795849481345
"CDH1","KO",0.726305831811239,0.0645325427583514,7,0.338795849481345
"BRCA2","KO",0.612966695956283,0.143312766616884,7,0.501594683159092
"NCAM1","KO",0.542831618052885,0.208001350841132,7,0.607389330368705
"BRCA1","KO",0.493566266032912,0.260309713015159,7,0.607389330368705
"ACP3","KO",0.437908670436312,0.325763445432902,7,0.684103235409095
"AR","KO",0.354860931539321,0.434772664249772,7,0.702325073018863
"TTF1","KO",0.243966126939514,0.598044986601329,7,0.847367905770501
"AURKA","KO",0.209009704414338,0.652873346754623,7,0.847367905770501
"MKI67","KO",0.16185149444083,0.728817076870152,7,0.847367905770501
"PTEN","KO",0.13877745380094,0.766666200459025,7,0.847367905770501
"TFRC","KO",-0.0110855573244961,0.981181729719776,7,0.981181729719776
"ERG","KO",-0.0451582352141846,0.923415143090265,7,0.969585900244779
"AMACR","KO",-0.187984868786759,0.686475769056491,7,0.847367905770501
"INSM1","KO",-0.215035016060176,0.643326428755535,7,0.847367905770501
"SCG2","KO",-0.362544501852814,0.42416341736272,7,0.702325073018863
"MYC","KO",-0.381653357359216,0.398222866494924,7,0.702325073018863
"CHGA","KO",-0.498994921677401,0.254279365930686,7,0.607389330368705
"VIM","KO",-0.62777140145993,0.131187125346247,7,0.501594683159092
"RB1","KO",-0.743786312326774,0.0552827796102352,7,0.338795849481345
"CHGB","KO",-0.748920344236887,0.0527132704085235,7,0.338795849481345
"NKX3-1","KO",NA,NA,7,NA
"TMPRSS2","KO",NA,NA,7,NA
