"gene","genotype","cor","p.value","n","p.adj"
"MKI67","WT",0.705574587010826,0.022625592848361,10,0.260194317756152
"AMACR","WT",0.570595100800059,0.084971725988948,10,0.336716169697339
"SYP","WT",0.558324238417262,0.0934639662696401,10,0.336716169697339
"VIM","WT",0.546053376034465,0.102478834255712,10,0.336716169697339
"NCAM1","WT",0.411073889823699,0.23794186616753,10,0.412078334293195
"RB1","WT",0.386532165058105,0.269868582576024,10,0.412078334293195
"CDH1","WT",0.20246922931615,0.574812552641861,10,0.709065618472523
"INSM1","WT",0.196931467081469,0.58553405668639,10,0.709065618472523
"MYC","WT",0.177927504550556,0.622873184652181,10,0.709065618472523
"TMPRSS2","WT",0.0138243710378265,0.9697649671114,10,0.9697649671114
"CHGA","WT",-0.0306771559569924,0.932956838599304,10,0.9697649671114
"AR","WT",-0.165656642167759,0.647407738605348,10,0.709065618472523
"TTF1","WT",-0.177927504550556,0.62287318465218,10,0.709065618472523
"TFRC","WT",-0.374261302675308,0.286663189073527,10,0.412078334293195
"AURKA","WT",-0.386532165058105,0.269868582576024,10,0.412078334293195
"BRCA1","WT",-0.398803027440902,0.25362657589473,10,0.412078334293195
"NKX3-1","WT",-0.420325549994187,0.226487063579655,10,0.412078334293195
"ACP3","WT",-0.435615614589293,0.208257887001565,10,0.412078334293195
"SCG2","WT",-0.455352679160369,0.186024173010342,10,0.412078334293195
"ERG","WT",-0.472428201737684,0.167968555411679,10,0.412078334293195
"BRCA2","WT",-0.546053376034465,0.102478834255712,10,0.336716169697339
"CHGB","WT",-0.559887027031972,0.0923535677111569,10,0.336716169697339
"PTEN","WT",-0.816012348455999,0.00398914439528716,10,0.0917503210916047
"SYP","KO",0.889499179993321,0.00733942556168497,7,0.154127936795384
"CDH1","KO",0.741249316661101,0.0565771404913755,7,0.396039983439628
"BRCA2","KO",0.741249316661101,0.0565771404913755,7,0.396039983439628
"NCAM1","KO",0.444749589996661,0.317371942828025,7,0.669154158180245
"AR","KO",0.370624658330551,0.413116200255166,7,0.669154158180245
"BRCA1","KO",0.370624658330551,0.413116200255166,7,0.669154158180245
"PTEN","KO",0.333562192497496,0.46469707719906,7,0.680501014726704
"MKI67","KO",0.29649972666444,0.518476963601299,7,0.680501014726704
"AURKA","KO",0.29649972666444,0.518476963601299,7,0.680501014726704
"TTF1","KO",0.185312329165275,0.690777796191686,7,0.853313748236789
"ACP3","KO",0.0370624658330551,0.937124008662856,7,0.983980209095999
"ERG","KO",0,1,7,1
"INSM1","KO",-0.0370624658330551,0.937124008662856,7,0.983980209095999
"TFRC","KO",-0.0741249316661101,0.874507032425875,7,0.983980209095999
"SCG2","KO",-0.369800130816819,0.414238288397294,7,0.669154158180245
"AMACR","KO",-0.370624658330551,0.413116200255166,7,0.669154158180245
"MYC","KO",-0.407687124163606,0.363942483591946,7,0.669154158180245
"CHGA","KO",-0.444749589996661,0.317371942828025,7,0.669154158180245
"CHGB","KO",-0.461538461538462,0.29718230565673,7,0.669154158180245
"VIM","KO",-0.481812055829716,0.27358684135531,7,0.669154158180245
"RB1","KO",-0.704186850828046,0.0773502479544214,7,0.406088801760712
"NKX3-1","KO",NA,NA,7,NA
"TMPRSS2","KO",NA,NA,7,NA
