"gene","genotype","p.value","p.adj"
"AR","WT",0.171428571428571,0.748051948051948
"AR","KO",0.628571428571429,1
"NKX3-1","WT",0.666666666666667,1
"NKX3-1","KO",1,1
"TMPRSS2","WT",1,1
"TMPRSS2","KO",1,1
"AMACR","WT",0.352380952380952,1
"AMACR","KO",0.4,1
"ERG","WT",0.914285714285714,1
"ERG","KO",0.4,1
"MKI67","WT",0.00952380952380952,0.228571428571429
"MKI67","KO",0.628571428571429,1
"CDH1","WT",0.00952380952380952,0.228571428571429
"CDH1","KO",1,1
"VIM","WT",0.914285714285714,1
"VIM","KO",0.114285714285714,0.609523809523809
"AURKA","WT",0.914285714285714,1
"AURKA","KO",0.4,1
"BRCA1","WT",0.914285714285714,1
"BRCA1","KO",0.0571428571428571,0.457142857142857
"BRCA2","WT",0.761904761904762,1
"BRCA2","KO",0.0571428571428571,0.457142857142857
"MYC","WT",1,1
"MYC","KO",0.857142857142857,1
"PTEN","WT",0.609523809523809,1
"PTEN","KO",1,1
"RB1","WT",1,1
"RB1","KO",0.114285714285714,0.609523809523809
"TTF1","WT",0.761904761904762,1
"TTF1","KO",0.4,1
"INSM1","WT",0.504761904761905,1
"INSM1","KO",0.628571428571429,1
"ACP3","WT",1,1
"ACP3","KO",0.0571428571428571,0.457142857142857
"CHGA","WT",0.609523809523809,1
"CHGA","KO",0.114285714285714,0.609523809523809
"CHGB","WT",0.523809523809524,1
"CHGB","KO",0.571428571428571,1
"TFRC","WT",0.257142857142857,1
"TFRC","KO",0.628571428571429,1
"NCAM1","WT",1,1
"NCAM1","KO",0.0571428571428571,0.457142857142857
"SCG2","WT",0.666666666666667,1
"SCG2","KO",1,1
"SYP","WT",0.914285714285714,1
"SYP","KO",0.628571428571429,1
"FOLH1","WT",0.171428571428571,0.748051948051948
"FOLH1","KO",0.4,1
