"gene","genotype","sex","n","mean_expr","median_expr","sd_expr"
"ACP3","WT","Male",4,9.78761317643911,9.85716175105902,0.430354056402035
"ACP3","WT","Female",6,10.0045354206086,9.89982863041194,1.04498365828167
"ACP3","KO","Male",4,9.81007452527257,9.79561841963513,0.0728332038995652
"ACP3","KO","Female",3,10.4499579639169,10.4599534443345,0.0356742625068891
"AMACR","WT","Male",4,8.99474484785413,8.95846073275156,0.198903679511153
"AMACR","WT","Female",6,8.81985525372773,8.80312162245851,0.226913414326793
"AMACR","KO","Male",4,9.2025867032746,9.18605083063044,0.138905697689696
"AMACR","KO","Female",3,9.32760813459512,9.37060956121352,0.170420633698503
"AR","WT","Male",4,9.60148457797295,9.47414518273719,0.328565184716389
"AR","WT","Female",6,9.92132377039184,9.86397447773285,0.348484133858331
"AR","KO","Male",4,8.95000122731583,8.9808828354295,0.239651069782849
"AR","KO","Female",3,8.8220293112754,8.79817848826192,0.112528796424681
"AURKA","WT","Male",4,10.0084617835937,10.0671405230968,0.249242540296079
"AURKA","WT","Female",6,9.89525509678819,9.89687286774306,0.503496220734318
"AURKA","KO","Male",4,9.86665015335119,9.93692032116476,0.182012502406843
"AURKA","KO","Female",3,9.77284878020974,9.77835898543491,0.117785224290741
"BRCA1","WT","Male",4,9.04403950748518,8.97309992942749,0.211716502415176
"BRCA1","WT","Female",6,9.10079490042946,8.97206575853283,0.483149277797121
"BRCA1","KO","Male",4,8.95919793994513,8.97581885760272,0.0779461381757929
"BRCA1","KO","Female",3,9.31251114701174,9.22458367483421,0.17957886525429
"BRCA2","WT","Male",4,8.69715615809875,8.75071666757794,0.15798758725409
"BRCA2","WT","Female",6,8.74748641331487,8.79806665599372,0.291104115897172
"BRCA2","KO","Male",4,8.30346689451062,8.29615906501076,0.0703372415668359
"BRCA2","KO","Female",3,9.12328099125764,9.03516854896758,0.232416481295475
"CDH1","WT","Male",4,6.84016461620631,6.73484916410938,0.23432505730273
"CDH1","WT","Female",6,6.41485156592241,6.42083666681667,0.185033086129459
"CDH1","KO","Male",4,6.92289465191421,6.88938959350965,0.142638943733561
"CDH1","KO","Female",3,6.98155795180995,7.06525468751394,0.168628297419557
"CHGA","WT","Male",4,7.30915056040125,7.14957825929689,0.812981143847563
"CHGA","WT","Female",6,7.48091986822306,7.4710728135,0.626625101270098
"CHGA","KO","Male",4,8.40276044376196,8.45473828667721,0.519414816122034
"CHGA","KO","Female",3,7.35004144339688,7.30328437743007,0.400392201319073
"CHGB","WT","Male",4,5.39498204878747,5.34201595926863,0.10593217903767
"CHGB","WT","Female",6,5.49631998516095,5.44582809310289,0.178490955741807
"CHGB","KO","Male",4,5.5430706116372,5.5742799429165,0.143312364456297
"CHGB","KO","Female",3,5.42127572821354,5.34201595926863,0.137281946808757
"ERG","WT","Male",4,8.30562315440068,8.34906818198706,0.393865302516819
"ERG","WT","Female",6,8.31220072345885,8.29913946228239,0.171779090589936
"ERG","KO","Male",4,8.8402167098603,8.85750860746662,0.395699305361358
"ERG","KO","Female",3,8.45584894159965,8.45644962369923,0.0216996110609813
"FOLH1","WT","Male",4,5.63241132540705,5.65101992438177,0.0552488988581123
"FOLH1","WT","Female",6,5.47483570219703,5.44582809310289,0.152205282741115
"FOLH1","KO","Male",4,5.48194416104508,5.34201595926863,0.27985640355289
"FOLH1","KO","Female",3,5.71815465750803,5.74930856313288,0.0571318502485765
"INSM1","WT","Male",4,5.83561636653183,5.77632870627258,0.459956759925728
"INSM1","WT","Female",6,5.65376351701543,5.63253954772209,0.203236407569189
"INSM1","KO","Male",4,5.70637450272941,5.67410944767713,0.136672722055882
"INSM1","KO","Female",3,5.57514848986485,5.63049186186482,0.210977072878651
"MKI67","WT","Male",4,12.3939601320228,12.3379016804734,0.167662858577398
"MKI67","WT","Female",6,11.8496126829456,11.8776970626249,0.16630240567294
"MKI67","KO","Male",4,12.5763157489367,12.5803647461225,0.0885151152442172
"MKI67","KO","Female",3,12.5217545042251,12.5799062389185,0.116529126153518
"MYC","WT","Male",4,14.0268569037983,14.0308943004939,0.206305525892237
"MYC","WT","Female",6,13.8948851458074,14.0150193754017,0.46443437166731
"MYC","KO","Male",4,13.8210747795685,13.830407755765,0.144182924271037
"MYC","KO","Female",3,13.7791753950145,13.7733409034127,0.0761227221737035
"NCAM1","WT","Male",4,10.258196619109,10.2269020651754,0.0970870162735276
"NCAM1","WT","Female",6,10.2711765822429,10.2810536413986,0.234979644883018
"NCAM1","KO","Male",4,10.285773402951,10.2879036948162,0.0858076996781107
"NCAM1","KO","Female",3,11.429266673902,11.4325065395421,0.181999092629562
"NKX3-1","WT","Male",4,5.34201595926863,5.34201595926863,0
"NKX3-1","WT","Female",6,5.45716735250467,5.34201595926863,0.178597344962735
"NKX3-1","KO","Male",4,5.34201595926863,5.34201595926863,0
"NKX3-1","KO","Female",3,5.34201595926863,5.34201595926863,0
