Geneid	T1728C_MKRN260030439-1A_23M5KWLT4_L1_T1728C_MKRN260030439-1A_23M5KWLT4_L1	T1729C_MKRN260030440-1A_23M5KWLT4_L1_T1729C_MKRN260030440-1A_23M5KWLT4_L1	T1730I_MKRN260030443-1A_23M5KWLT4_L3_T1730I_MKRN260030443-1A_23M5KWLT4_L3	T1739I_MKRN260030444-1A_23M5KWLT4_L3_T1739I_MKRN260030444-1A_23M5KWLT4_L3	T1740C_MKRN260030441-1A_23M5KWLT4_L1_T1740C_MKRN260030441-1A_23M5KWLT4_L1	T1742C_MKRN260030442-1A_23M5KWLT4_L3_T1742C_MKRN260030442-1A_23M5KWLT4_L3	T1743I_MKRN260030445-1A_23M5KWLT4_L3_T1743I_MKRN260030445-1A_23M5KWLT4_L3	T1760I_MKRN260030446-1A_23M5KWLT4_L3_T1760I_MKRN260030446-1A_23M5KWLT4_L3
ENSMUSG00000000001	5537	7121	6147	7510	7701	6359	6772	6333
ENSMUSG00000000003	0	0	0	0	0	0	0	0
ENSMUSG00000000028	956	1150	919	873	1480	953	896	973
ENSMUSG00000000031	222	497	144	282	348	2552	118	160
ENSMUSG00000000037	64	84	61	60	85	76	58	57
ENSMUSG00000000049	2	0	3	0	0	3	1	1
ENSMUSG00000000056	731	794	786	798	1079	1152	756	997
ENSMUSG00000000058	3138	3441	2977	3170	4120	2911	3005	3650
ENSMUSG00000000078	5328	7602	5864	7129	6252	6169	6372	7462
ENSMUSG00000000085	574	580	498	416	740	589	515	476
ENSMUSG00000000088	1259	1526	1185	1044	1690	1711	1255	1178
ENSMUSG00000000093	75	47	32	43	98	71	24	26
ENSMUSG00000000094	0	3	0	0	1	7	0	3
ENSMUSG00000000103	0	0	0	0	0	0	0	0
ENSMUSG00000000120	18	22	15	8	16	7	4	10
ENSMUSG00000000125	0	0	0	0	0	0	1	0
ENSMUSG00000000126	485	524	429	387	714	570	517	664
ENSMUSG00000000127	1074	1278	1213	1336	1535	1187	1266	1255
ENSMUSG00000000131	1318	1556	1463	1452	1805	1401	1399	1306
ENSMUSG00000000134	1372	1793	1449	1510	1956	1324	1390	1305
ENSMUSG00000000142	111	179	107	73	128	122	114	55
ENSMUSG00000000148	370	447	400	433	495	455	333	409
ENSMUSG00000000149	2381	2775	2834	2399	2996	2427	2189	2091
ENSMUSG00000000154	7	0	0	2	2	4	2	1
ENSMUSG00000000157	0	0	0	0	1	0	0	0
ENSMUSG00000000159	2	1	2	2	4	1	0	3
ENSMUSG00000000167	20	22	11	11	13	15	11	14
ENSMUSG00000000168	1561	1798	1613	1984	2165	2122	1941	2184
ENSMUSG00000000171	1691	2355	1956	1910	2419	2268	2154	2394
ENSMUSG00000000182	0	0	0	0	1	1	0	0
ENSMUSG00000000183	0	0	0	0	0	20	0	0
ENSMUSG00000000184	2841	4195	3283	3127	2897	2357	2380	1788
ENSMUSG00000000194	1880	2566	2152	2284	2554	2242	2031	2119
ENSMUSG00000000197	48	74	50	71	43	60	35	32
ENSMUSG00000000202	0	3	1	0	0	1	1	3
ENSMUSG00000000204	126	228	178	127	124	122	114	89
ENSMUSG00000000214	0	0	0	0	0	0	0	0
ENSMUSG00000000215	0	0	0	0	0	0	0	0
ENSMUSG00000000216	0	0	0	0	0	0	0	2
ENSMUSG00000000223	10	25	13	4	19	17	12	10
ENSMUSG00000000244	225	277	205	108	187	122	124	132
ENSMUSG00000000247	0	2	5	0	0	0	0	0
ENSMUSG00000000248	1	21	1	0	3	0	2	2
ENSMUSG00000000253	88	123	89	105	141	436	129	107
ENSMUSG00000000263	0	0	0	0	0	1	0	0
ENSMUSG00000000266	219	275	254	189	414	232	197	265
ENSMUSG00000000275	1536	2618	1771	1408	1547	1363	1385	1591
ENSMUSG00000000276	289	337	280	284	374	261	284	217
ENSMUSG00000000278	3901	5213	4479	4677	4666	3770	4073	4243
ENSMUSG00000000282	895	1060	1151	1185	1254	986	1057	1120
ENSMUSG00000000290	2801	4044	2803	1165	1671	1369	1242	1400
ENSMUSG00000000295	298	362	214	298	385	335	345	409
ENSMUSG00000000296	75	118	72	110	185	143	130	129
ENSMUSG00000000301	47	50	54	76	86	70	70	56
ENSMUSG00000000303	131	145	136	86	80	93	145	174
ENSMUSG00000000305	0	1	1	1	0	61	0	1
ENSMUSG00000000308	0	1	0	1	1	0	0	11
ENSMUSG00000000317	292	298	293	295	442	345	481	429
ENSMUSG00000000318	106	134	119	36	50	122	49	80
ENSMUSG00000000320	15	29	21	23	44	32	32	36
ENSMUSG00000000325	24	29	34	28	47	71	32	30
ENSMUSG00000000326	1277	1374	1221	1357	2038	1530	1292	1329
ENSMUSG00000000339	1176	1454	1252	1735	1711	1507	1535	1440
ENSMUSG00000000340	555	681	457	500	807	561	571	533
ENSMUSG00000000346	7258	8868	6737	6629	9815	6835	6586	8429
ENSMUSG00000000355	871	1134	750	775	887	859	725	852
ENSMUSG00000000359	131	220	198	143	147	197	114	81
ENSMUSG00000000365	2	6	3	7	0	3	5	1
ENSMUSG00000000374	1026	1211	968	1144	1640	1074	1085	1215
ENSMUSG00000000378	1451	1636	1336	1437	1763	1550	1320	1364
ENSMUSG00000000381	0	0	0	0	0	1	0	0
ENSMUSG00000000384	1065	1065	1022	1250	1533	1262	1163	1196
ENSMUSG00000000385	0	0	0	0	1	0	0	11
ENSMUSG00000000386	309	725	311	132	171	165	139	171
