Geneid	KO2869M_MKRN260030436-1A_23M5KWLT4_L1_KO2869M_MKRN260030436-1A_23M5KWLT4_L1	KO2881C_MKRN260030434-1A_23M5KWLT4_L1_KO2881C_MKRN260030434-1A_23M5KWLT4_L1	KO2882C_MKRN260030435-1A_23M5KWLT4_L1_KO2882C_MKRN260030435-1A_23M5KWLT4_L1	KO2883M_MKRN260030438-1A_23M5KWLT4_L1_KO2883M_MKRN260030438-1A_23M5KWLT4_L1	KO2884M_MKRN260030437-1A_23M5KWLT4_L1_KO2884M_MKRN260030437-1A_23M5KWLT4_L1	KO2868C_MKRN260030433-1A_23M5KWLT4_L1_KO2868C_MKRN260030433-1A_23M5KWLT4_L1	WT2868C_MKRN260030427-1A_23M5KWLT4_L1_WT2868C_MKRN260030427-1A_23M5KWLT4_L1	WT2869M_MKRN260030430-1A_23M5KWLT4_L1_WT2869M_MKRN260030430-1A_23M5KWLT4_L1	WT2881C_MKRN260030428-1A_23M5KWLT4_L1_WT2881C_MKRN260030428-1A_23M5KWLT4_L1	WT2882C_MKRN260030429-1A_23M5KWLT4_L1_WT2882C_MKRN260030429-1A_23M5KWLT4_L1	WT2883M_MKRN260030432-1A_23M5KWLT4_L1_WT2883M_MKRN260030432-1A_23M5KWLT4_L1	WT2884M_MKRN260030431-1A_23M5KWLT4_L1_WT2884M_MKRN260030431-1A_23M5KWLT4_L1
ENSMUSG00000000001	6258	5182	4814	5364	6461	5729	4876	5205	5182	4620	5692	5068
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	1397	948	1268	1246	1270	1350	618	791	592	662	838	605
ENSMUSG00000000031	20504	14766	26117	12913	28000	27552	11015	19763	24457	18622	14328	26409
ENSMUSG00000000037	35	12	10	29	27	7	88	69	56	78	107	101
ENSMUSG00000000049	2	0	2	1	1	0	0	5	1	6	1	4
ENSMUSG00000000056	372	379	373	307	355	389	368	301	415	336	307	263
ENSMUSG00000000058	2620	2048	2524	2554	2077	3160	3067	2994	2519	2362	3672	2647
ENSMUSG00000000078	5168	4225	4161	4354	5195	5083	4645	4226	6632	3876	5656	5394
ENSMUSG00000000085	930	772	984	983	977	1068	774	827	774	880	830	807
ENSMUSG00000000088	1527	1394	1286	1689	1565	1738	708	973	1047	884	1288	934
ENSMUSG00000000093	91	90	123	76	138	176	186	168	232	362	146	214
ENSMUSG00000000094	1	0	0	0	1	0	0	0	0	4	0	1
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	6	9	21	12	9	25	4	2	4	9	0	2
ENSMUSG00000000125	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000000126	367	269	392	337	255	472	309	129	195	220	136	222
