Geneid	C2917WT_MKRN260030422-1A_23M5KWLT4_L1_C2917WT_MKRN260030422-1A_23M5KWLT4_L1	C2893WT_MKRN260030423-1A_23M5KWLT4_L1_C2893WT_MKRN260030423-1A_23M5KWLT4_L1	C2890WT_MKRN260030421-1A_23M5KWLT4_L1_C2890WT_MKRN260030421-1A_23M5KWLT4_L1	M2915WT_MKRN260030426-1A_23M5KWLT4_L1_M2915WT_MKRN260030426-1A_23M5KWLT4_L1	M2916WT_MKRN260030425-1A_23M5KWLT4_L1_M2916WT_MKRN260030425-1A_23M5KWLT4_L1	M2927WT_MKRN260030424-1A_23M5KWLT4_L1_M2927WT_MKRN260030424-1A_23M5KWLT4_L1
ENSMUSG00000000001	6860	9614	9395	8675	6685	7541
ENSMUSG00000000003	0	0	0	0	0	0
ENSMUSG00000000028	597	1144	1110	621	902	1084
ENSMUSG00000000031	32039	48004	32260	10844	31594	21224
ENSMUSG00000000037	34	45	49	49	42	41
ENSMUSG00000000049	2	4	0	1	2	3
ENSMUSG00000000056	694	896	806	464	496	916
ENSMUSG00000000058	1662	2549	2063	2159	2618	1902
ENSMUSG00000000078	8187	7472	6830	7422	6262	7813
ENSMUSG00000000085	638	1023	832	741	792	1160
ENSMUSG00000000088	1094	1840	1901	1377	1631	998
ENSMUSG00000000093	176	363	228	104	142	217
ENSMUSG00000000094	1	4	1	1	0	4
ENSMUSG00000000103	0	0	0	0	0	0
ENSMUSG00000000120	8	22	14	48	10	3
ENSMUSG00000000125	0	0	2	0	0	0
ENSMUSG00000000126	260	320	253	173	217	265
ENSMUSG00000000127	651	1103	1004	776	1032	1106
ENSMUSG00000000131	1161	2110	1929	1699	1320	2390
ENSMUSG00000000134	1612	2669	1647	1912	2006	2499
ENSMUSG00000000142	122	245	134	244	167	145
ENSMUSG00000000148	454	751	541	542	575	766
ENSMUSG00000000149	1644	3253	2328	2181	2153	2965
ENSMUSG00000000154	4	7	6	17	1	11
ENSMUSG00000000157	5	17	3	12	17	17
ENSMUSG00000000159	135	382	156	179	201	159
ENSMUSG00000000167	13	34	32	27	45	31
ENSMUSG00000000168	1791	2390	2331	2395	1976	1826
ENSMUSG00000000171	2430	3190	3196	2523	2213	2351
ENSMUSG00000000182	3	0	0	0	0	1
ENSMUSG00000000183	0	0	0	0	0	0
ENSMUSG00000000184	2686	6242	4856	7009	4250	6794
ENSMUSG00000000194	1858	3335	2773	2197	2195	2894
ENSMUSG00000000197	8	5	9	7	11	4
ENSMUSG00000000202	1	9	2	0	1	0
ENSMUSG00000000204	246	76	549	77	607	194
ENSMUSG00000000214	0	0	0	0	0	1
ENSMUSG00000000215	0	0	0	0	0	0
ENSMUSG00000000216	0	0	0	0	0	1
ENSMUSG00000000223	27	33	30	24	13	21
ENSMUSG00000000244	71	183	216	73	151	102
ENSMUSG00000000247	0	5	3	1	4	0
ENSMUSG00000000248	1	6	7	2	0	1
ENSMUSG00000000253	130	275	199	243	174	178
ENSMUSG00000000263	0	0	0	0	0	0
ENSMUSG00000000266	131	87	84	154	107	170
ENSMUSG00000000275	2234	2480	2729	1720	1465	2349
ENSMUSG00000000276	264	468	318	330	340	371
ENSMUSG00000000278	5225	6790	6402	4673	4763	5650
ENSMUSG00000000282	773	1303	923	673	741	1410
ENSMUSG00000000290	707	1652	1958	1146	1678	2021
ENSMUSG00000000295	498	486	486	643	593	342
ENSMUSG00000000296	126	243	216	99	151	163
ENSMUSG00000000301	62	118	70	115	102	83
ENSMUSG00000000303	14	37	35	45	64	32
ENSMUSG00000000305	0	0	1	0	0	0
ENSMUSG00000000308	0	2	0	2	0	2
ENSMUSG00000000317	388	765	413	225	424	913
ENSMUSG00000000318	73	60	76	95	231	62
ENSMUSG00000000320	20	23	10	6	23	24
ENSMUSG00000000325	104	151	133	208	97	199
ENSMUSG00000000326	1526	2315	1765	1991	2173	1921
ENSMUSG00000000339	1302	1805	1472	1626	1485	1450
ENSMUSG00000000340	568	1001	987	964	910	801
ENSMUSG00000000346	5630	6962	5294	6763	5417	5672
ENSMUSG00000000355	650	906	771	707	990	565
ENSMUSG00000000359	196	470	289	227	322	481
ENSMUSG00000000365	0	4	1	1	2	1
ENSMUSG00000000374	669	1170	1067	1223	811	1450
ENSMUSG00000000378	1136	1761	1504	1449	1522	1777
ENSMUSG00000000381	0	0	0	0	0	0
ENSMUSG00000000384	1298	1967	1770	1167	1417	1755
ENSMUSG00000000385	0	0	0	0	0	2
ENSMUSG00000000386	371	58	315	98	164	105
ENSMUSG00000000392	760	897	922	377	588	1101
ENSMUSG00000000394	0	0	0	0	1	0
ENSMUSG00000000399	1711	3076	2535	2538	2795	1888
ENSMUSG00000000402	17	6	29	3	5	5
ENSMUSG00000000409	46	51	119	33	56	32
ENSMUSG00000000411	0	0	0	2	0	1
ENSMUSG00000000416	12	49	9	18	10	9
ENSMUSG00000000420	6847	12659	8842	10755	10027	9790
ENSMUSG00000000435	0	0	0	0	0	0
ENSMUSG00000000439	473	607	433	399	423	511
ENSMUSG00000000440	220	127	80	277	197	148
ENSMUSG00000000441	629	996	848	767	507	991
ENSMUSG00000000486	77	164	189	86	121	144
ENSMUSG00000000489	508	1217	950	275	552	1397
ENSMUSG00000000530	268	361	393	264	340	632
ENSMUSG00000000531	701	839	621	566	627	673
ENSMUSG00000000532	503	751	692	500	540	670
ENSMUSG00000000538	739	1467	1122	1182	789	1788
ENSMUSG00000000544	0	0	0	1	0	0
ENSMUSG00000000552	750	1214	626	817	660	1050
ENSMUSG00000000555	8287	10219	7655	9187	7685	16944
ENSMUSG00000000560	2	2	4	2	1	6
ENSMUSG00000000561	1000	1788	1551	1792	2269	1133
ENSMUSG00000000562	12	10	13	14	19	2
ENSMUSG00000000563	5643	7867	6849	6251	7952	5274
ENSMUSG00000000567	3886	3472	1791	2258	2204	3748
ENSMUSG00000000568	3621	5928	5826	3096	6410	3484
ENSMUSG00000000579	71	100	91	90	130	79
ENSMUSG00000000581	2160	2645	2560	2220	2524	1625
ENSMUSG00000000594	1187	2466	2116	1550	2045	1762
ENSMUSG00000000600	591	965	858	1029	900	823
ENSMUSG00000000605	555	1316	874	985	1084	1141
ENSMUSG00000000606	0	0	0	0	0	0
ENSMUSG00000000617	0	0	1	0	0	1
ENSMUSG00000000627	32	35	49	23	22	40
ENSMUSG00000000628	1892	1901	1506	964	1371	2708
ENSMUSG00000000631	896	1739	1430	2310	1065	1703
ENSMUSG00000000632	1	1	2	1	0	2
ENSMUSG00000000673	0	8	23	4	12	2
ENSMUSG00000000682	416	806	1318	668	1637	432
ENSMUSG00000000686	23	62	42	35	8	16
ENSMUSG00000000690	720	1098	1040	905	1013	783
ENSMUSG00000000693	1773	1753	1260	1687	2055	2677
ENSMUSG00000000701	0	0	0	0	0	0
ENSMUSG00000000706	15	17	16	16	12	13
ENSMUSG00000000708	841	1230	1011	1232	831	1034
ENSMUSG00000000711	2112	3250	2926	2860	2535	3239
ENSMUSG00000000724	0	4	0	0	0	2
ENSMUSG00000000730	20	15	19	12	35	39
ENSMUSG00000000731	0	0	2	0	0	0
ENSMUSG00000000732	52	154	187	191	179	122
ENSMUSG00000000738	1647	2813	2095	1613	1920	2290
ENSMUSG00000000739	13	16	8	11	17	5
ENSMUSG00000000740	288	457	438	339	412	261
ENSMUSG00000000743	2376	3658	2613	2855	2657	2813
ENSMUSG00000000751	2388	4028	4101	2563	2450	3773
ENSMUSG00000000753	5518	6965	5183	2833	6851	8287
ENSMUSG00000000759	825	1559	1325	1392	1426	1602
ENSMUSG00000000766	0	0	0	0	0	0
ENSMUSG00000000776	893	1268	1118	985	994	1245
ENSMUSG00000000782	458	655	481	562	546	650
ENSMUSG00000000787	11895	19430	15929	15583	13345	15045
ENSMUSG00000000791	32	37	53	26	63	38
ENSMUSG00000000792	11	5	15	9	9	10
ENSMUSG00000000794	11	4	15	11	10	6
ENSMUSG00000000804	1212	1785	1607	1564	1276	1891
ENSMUSG00000000805	1	0	0	7	6	1
ENSMUSG00000000811	577	983	633	1016	760	702
ENSMUSG00000000817	3	4	30	3	22	5
ENSMUSG00000000823	636	1112	734	1192	710	1178
ENSMUSG00000000826	2190	2839	2407	2582	2065	3095
ENSMUSG00000000827	2545	3430	3057	3272	3639	2672
ENSMUSG00000000838	2353	3344	2880	3819	2819	2581
ENSMUSG00000000861	5	1	10	0	1	10
ENSMUSG00000000869	20	50	29	49	37	34
ENSMUSG00000000876	627	762	456	821	614	617
ENSMUSG00000000881	1008	1399	922	907	926	1551
ENSMUSG00000000884	164	233	210	242	196	159
ENSMUSG00000000889	0	1	1	0	0	2
ENSMUSG00000000901	445	435	385	479	313	502
ENSMUSG00000000902	1494	2262	2236	1893	2272	1900
ENSMUSG00000000903	0	2	5	3	0	2
ENSMUSG00000000915	484	608	561	904	540	676
ENSMUSG00000000916	485	657	695	569	408	586
ENSMUSG00000000934	331	511	408	432	391	463
ENSMUSG00000000938	3	7	4	4	3	5
ENSMUSG00000000942	74	86	50	105	108	119
ENSMUSG00000000948	0	0	5	0	1	2
ENSMUSG00000000957	15248	25521	16809	12702	14097	25217
ENSMUSG00000000958	239	533	407	332	382	438
ENSMUSG00000000959	1035	1430	1116	1149	1203	1374
ENSMUSG00000000976	461	805	703	723	653	939
ENSMUSG00000000982	115	49	98	37	33	19
ENSMUSG00000000983	1	0	1	2	1	1
ENSMUSG00000001014	0	0	0	0	0	0
ENSMUSG00000001016	3069	4267	4643	3492	3896	3619
ENSMUSG00000001017	3504	5723	6299	3847	4548	4053
ENSMUSG00000001018	1380	1968	1715	2412	2109	1663
ENSMUSG00000001020	26	39	52	99	66	22
ENSMUSG00000001021	17	45	44	52	46	26
ENSMUSG00000001023	18	24	13	50	76	9
ENSMUSG00000001025	51775	70698	72586	82401	93265	31218
ENSMUSG00000001027	10	1	3	3	3	4
ENSMUSG00000001029	145	295	255	62	170	257
ENSMUSG00000001034	731	1100	894	888	709	1211
ENSMUSG00000001036	1798	2564	1871	2154	1750	2755
ENSMUSG00000001039	108	130	161	100	187	116
ENSMUSG00000001052	2009	3055	2467	2902	2267	3721
ENSMUSG00000001053	385	628	495	177	269	532
ENSMUSG00000001054	521	742	453	695	660	592
ENSMUSG00000001056	1759	3132	3581	1999	2968	1987
ENSMUSG00000001062	398	577	436	529	421	654
ENSMUSG00000001065	436	596	349	578	443	588
ENSMUSG00000001076	7	2	2	0	1	4
ENSMUSG00000001082	1645	2188	1765	2096	2003	2188
ENSMUSG00000001089	1201	2104	1794	1573	1212	2567
ENSMUSG00000001095	0	0	0	0	0	0
ENSMUSG00000001098	2673	3240	2733	2266	1408	3609
ENSMUSG00000001100	2111	2733	2185	2803	2328	2429
ENSMUSG00000001103	0	0	0	0	0	0
ENSMUSG00000001105	543	972	922	832	926	592
ENSMUSG00000001119	18048	23552	19459	15900	17456	28155
ENSMUSG00000001120	525	665	442	796	651	841
ENSMUSG00000001123	1010	1286	1220	701	971	976
ENSMUSG00000001127	1172	1932	1421	1394	1530	1870
ENSMUSG00000001128	802	2019	2501	1212	2422	2267
ENSMUSG00000001131	3511	5143	2832	2142	5082	4437
ENSMUSG00000001134	36	66	50	84	88	53
ENSMUSG00000001138	398	774	523	504	535	636
ENSMUSG00000001143	240	487	543	272	235	448
ENSMUSG00000001150	1031	1613	1515	1417	1064	2043
ENSMUSG00000001151	643	1158	1192	794	900	1611
ENSMUSG00000001155	6	1	1	5	2	9
ENSMUSG00000001156	743	530	408	401	360	614
ENSMUSG00000001157	465	919	693	929	876	745
ENSMUSG00000001158	1160	1572	1233	1240	1793	1059
ENSMUSG00000001166	20	20	32	24	28	23
ENSMUSG00000001168	0	1	0	0	0	0
ENSMUSG00000001173	787	1359	1141	1218	949	1681
ENSMUSG00000001175	17479	33987	26419	26304	32831	20816
ENSMUSG00000001211	1259	2124	1594	2020	1632	1969
ENSMUSG00000001225	0	0	0	0	0	0
ENSMUSG00000001227	465	537	445	386	271	511
ENSMUSG00000001228	1742	3412	3512	1958	2591	3510
ENSMUSG00000001229	1392	2355	1750	2116	1782	2690
ENSMUSG00000001240	234	326	252	177	325	305
ENSMUSG00000001247	36	21	22	23	30	36
ENSMUSG00000001248	1176	1098	825	668	879	1447
ENSMUSG00000001249	8	41	18	13	11	14
ENSMUSG00000001260	0	0	1	1	0	0
ENSMUSG00000001270	439	1082	1030	460	687	874
ENSMUSG00000001280	2240	3351	2926	2752	2182	3666
ENSMUSG00000001281	590	1616	1071	442	760	1040
ENSMUSG00000001285	839	1424	1120	937	1303	934
ENSMUSG00000001288	2263	3206	1255	1996	1946	3456
ENSMUSG00000001289	2574	3196	2721	2512	3123	2021
ENSMUSG00000001300	2315	4514	3160	3959	4275	3750
ENSMUSG00000001305	731	1142	1245	838	809	728
ENSMUSG00000001313	314	382	270	427	255	247
ENSMUSG00000001323	276	409	302	479	338	367
ENSMUSG00000001333	17	46	33	37	21	84
ENSMUSG00000001334	23	43	19	55	43	26
ENSMUSG00000001348	2025	7223	4907	878	1691	6738
ENSMUSG00000001349	100	227	139	23	76	176
ENSMUSG00000001366	380	569	499	640	518	410
ENSMUSG00000001376	1212	2003	1589	1673	1593	1603
ENSMUSG00000001380	2788	4068	3456	3399	3260	3414
ENSMUSG00000001383	1700	2760	2574	2162	2197	1596
ENSMUSG00000001403	2034	3674	3627	1185	4447	2856
ENSMUSG00000001415	2726	4920	5997	3158	3175	4780
ENSMUSG00000001416	12659	19798	27437	14550	16608	14959
ENSMUSG00000001418	2638	3754	4084	2975	3082	3323
ENSMUSG00000001419	3445	4460	4458	3412	2623	5275
ENSMUSG00000001420	26	50	47	42	38	44
ENSMUSG00000001424	4747	8568	7233	5169	5803	7973
ENSMUSG00000001435	12117	20837	13432	10498	10180	15362
ENSMUSG00000001436	841	1403	1312	1483	1238	1278
ENSMUSG00000001440	11340	19464	18601	13822	16003	19093
ENSMUSG00000001441	3343	4718	3340	4177	3275	4981
ENSMUSG00000001444	10	6	16	11	10	4
ENSMUSG00000001445	1044	1652	1416	1222	1277	1424
ENSMUSG00000001467	1169	2912	2459	2217	3628	2638
ENSMUSG00000001472	6029	8600	6782	6639	5953	8773
ENSMUSG00000001473	5960	10041	6921	4344	6675	9943
ENSMUSG00000001482	1038	1589	1251	1350	1113	1658
ENSMUSG00000001493	517	683	421	266	461	538
ENSMUSG00000001494	0	0	0	1	0	0
ENSMUSG00000001496	0	0	0	0	0	0
ENSMUSG00000001497	65	70	66	84	68	81
ENSMUSG00000001504	88	115	33	52	59	38
ENSMUSG00000001506	48888	67615	56492	20177	36965	125056
ENSMUSG00000001507	1540	3767	2890	2557	1852	3797
ENSMUSG00000001508	10	4	8	2	7	3
ENSMUSG00000001510	33	35	18	51	48	43
ENSMUSG00000001517	973	1740	1258	709	1169	1897
ENSMUSG00000001518	340	606	415	429	523	475
ENSMUSG00000001520	22	23	15	10	6	12
