Geneid	T1579KO_MKRN260030400-1A_23M5KWLT4_L1	T2054WT_MKRN260030401-1A_23M5KWLT4_L2	T2055KO_MKRN260030402-1A_23M5KWLT4_L1	T2498WT_MKRN260030403-1A_23M5KWLT4_L1	T2552WT_MKRN260030404-1A_23M5KWLT4_L1	T2552WT_MKRN260030404-1A_23M72JLT4_L4	T2552WT_MKRN260030404-1A_23M53NLT4_L4	T2675KO_MKRN260030405-1A_23M5KWLT4_L1	T2785WT_MKRN260030406-1A_23M5KWLT4_L3
ENSMUSG00000000001	11599	9862	12129	3572	2116	853	1243	11187	7613
ENSMUSG00000000003	0	0	0	0	0	2	0	0	0
ENSMUSG00000000028	866	522	750	160	127	63	64	732	774
ENSMUSG00000000031	13090	13114	16587	999	942	387	575	18181	16747
ENSMUSG00000000037	17	3	17	28	10	12	13	14	1
ENSMUSG00000000049	0	1	3	0	0	0	0	2	10
ENSMUSG00000000056	335	718	511	194	114	31	54	349	529
ENSMUSG00000000058	1712	2330	2242	3056	379	157	256	2194	2145
ENSMUSG00000000078	9772	8604	11859	2275	1738	700	972	9665	4177
ENSMUSG00000000085	666	485	656	238	181	78	102	600	599
ENSMUSG00000000088	1624	1635	1484	663	329	107	197	1225	1432
ENSMUSG00000000093	43	127	42	28	22	11	12	57	325
ENSMUSG00000000094	0	9	2	0	0	0	0	0	7
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	11	18	1	2	2	0	0	2	4
ENSMUSG00000000125	0	0	1	1	10	0	0	1	0
ENSMUSG00000000126	27	166	29	66	20	2	2	18	154
ENSMUSG00000000127	564	593	612	231	165	73	145	470	638
ENSMUSG00000000131	2783	2146	2504	842	541	220	321	2384	2389
ENSMUSG00000000134	2158	1243	1982	2163	412	139	183	2037	1159
ENSMUSG00000000142	182	286	219	239	176	51	74	228	123
ENSMUSG00000000148	230	299	179	69	84	19	27	202	471
ENSMUSG00000000149	2873	1729	2980	735	525	182	262	2443	1602
ENSMUSG00000000154	10	12	9	0	7	0	3	19	12
ENSMUSG00000000157	7	3	8	0	2	4	0	6	3
ENSMUSG00000000159	116	168	105	0	19	7	4	31	13
ENSMUSG00000000167	14	21	16	29	10	0	2	13	54
ENSMUSG00000000168	1972	2451	1953	877	376	147	211	1788	2494
