"gene","n","method","correlation","p_value","p_adj_BH"
"FOLH1",266,"pearson",1,0,0
"KLK3",266,"pearson",0.650325260893395,2.2817000415806e-33,2.96621005405478e-32
"NKX3-1",266,"pearson",0.645486080708688,9.57224323673173e-33,8.29594413850083e-32
"TMPRSS2",266,"pearson",0.554701566890033,7.2850200466213e-23,4.73526303030384e-22
"AR",266,"pearson",0.499815840500313,3.23074694156338e-18,1.67998840961296e-17
"CDH1",266,"pearson",0.364006998559461,9.35432016168685e-10,3.04015405254823e-09
"AMACR",266,"pearson",0.317062467332781,1.26578376829336e-07,2.35074128397339e-07
"MYC",266,"pearson",0.242895773364668,6.25538001662917e-05,9.0355489129088e-05
"RB1",266,"pearson",0.220418065316107,0.000291617389552758,0.000399055375177459
"ERG",266,"pearson",0.189496826476722,0.00190782319047295,0.00236206680725222
"TP53",266,"pearson",0.133343825753316,0.0296864751190549,0.0350840160497921
"TTF1",266,"pearson",0.0962021002595143,0.117523803939801,0.127317454268118
"VIM",266,"pearson",0.00512256704603418,0.933729384518627,0.933729384518627
"PTEN",266,"pearson",-0.0434852234055309,0.480053428025052,0.499255565146054
"SYP",266,"pearson",-0.131613040903542,0.0318907482021577,0.0360504110111348
"CHGA",266,"pearson",-0.20372180905021,0.000831557549053984,0.00108102481377018
"SCG2",266,"pearson",-0.26086433536278,1.63713088698972e-05,2.50384723892546e-05
"INSM1",266,"pearson",-0.270047913660584,7.93710962322713e-06,1.28978031377441e-05
"TFRC",266,"pearson",-0.302283051405899,5.03660648876402e-07,8.73011791385764e-07
"CHGB",266,"pearson",-0.320674313638433,8.92815494292906e-08,1.78563098858581e-07
"AURKA",266,"pearson",-0.332820344079842,2.66791864061985e-08,5.78049038800967e-08
"NKX2-1",266,"pearson",-0.341847592056247,1.05012122387644e-08,2.48210471098069e-08
"MKI67",266,"pearson",-0.348888314407659,4.96957364335983e-09,1.29208914727356e-08
"BRCA1",266,"pearson",-0.35385525292223,2.89886096642677e-09,8.374487236344e-09
"BRCA2",266,"pearson",-0.407365071214992,4.68273615588878e-12,1.73930200075869e-11
"NCAM1",266,"pearson",-0.433459748050958,1.30717311283062e-13,5.664416822266e-13
