"gene","n","method","correlation","p_value","p_adj_BH"
"FOLH1",266,"spearman",1,0,0
"KLK3",266,"spearman",0.591165946108539,1.84792533048466e-26,2.40230292963006e-25
"TMPRSS2",266,"spearman",0.507683217108373,7.83029220664542e-19,6.78625324575936e-18
"NKX3-1",266,"spearman",0.483506306576277,5.44391395473601e-17,3.53854407057841e-16
"AR",266,"spearman",0.328389236818993,4.1707750092405e-08,1.36147992972287e-07
"CDH1",266,"spearman",0.328345243010005,4.18916901453191e-08,1.36147992972287e-07
"AMACR",266,"spearman",0.315049548824361,1.53455609497997e-07,4.43316205216436e-07
"MYC",266,"spearman",0.202974364042393,0.000869873701955103,0.00161547973220234
"RB1",266,"spearman",0.174867420831069,0.00422781660503334,0.00732821544872446
"TTF1",266,"spearman",0.141853573939088,0.0206467931956669,0.0335510389429586
"TP53",266,"spearman",0.131183481281112,0.0324589462945524,0.0444175054557033
"ERG",266,"spearman",0.110882570003555,0.0709973125781054,0.0922965063515371
"SYP",266,"spearman",-0.00882840979914276,0.886044015333367,0.886044015333367
"VIM",266,"spearman",-0.0610471482926098,0.321253465856752,0.334103604491022
"INSM1",266,"spearman",-0.0684875381978297,0.265689145011526,0.28782990709582
"PTEN",266,"spearman",-0.0720341238935796,0.241667206265809,0.27318901577874
"CHGA",266,"spearman",-0.0867382940413946,0.158345931595936,0.187136100977015
"SCG2",266,"spearman",-0.0923200664880466,0.133145482025169,0.164846787269257
"NKX2-1",266,"spearman",-0.132910636390122,0.0302255768982754,0.0436591666308423
"CHGB",266,"spearman",-0.133282853369814,0.0297618541899577,0.0436591666308423
"TFRC",266,"spearman",-0.245501075138557,5.18217360273838e-05,0.000103643472054768
"BRCA1",266,"spearman",-0.250798184777186,3.51188964871505e-05,7.60909423888262e-05
"AURKA",266,"spearman",-0.300634244079565,5.84831781970213e-07,1.38232966647505e-06
"MKI67",266,"spearman",-0.311360444783785,2.17593643065959e-07,5.65743471971495e-07
"BRCA2",266,"spearman",-0.337034976672123,1.73274228187073e-08,7.5085498881065e-08
"NCAM1",266,"spearman",-0.396703971078853,1.85231594963288e-11,9.63204293809099e-11
