".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"FOLH1_log2_FPKM","Lymph node","Liver",115,39,-6.15540524299747,7.48857600503638e-10,1.12328640075546e-08,"****"
"FOLH1_log2_FPKM","Bone","Liver",73,39,-3.93942850262602,8.16759375773021e-05,0.000612569531829766,"***"
"FOLH1_log2_FPKM","Lymph node","Bone",115,73,-2.4006542264264,0.0163657926565115,0.061371722461918,"ns"
"FOLH1_log2_FPKM","Lymph node","Soft tissue",115,25,-2.49441621757195,0.0126164507067695,0.061371722461918,"ns"
"FOLH1_log2_FPKM","Soft tissue","Liver",25,39,-2.30347238546719,0.0212522791307539,0.0637568373922618,"ns"
"FOLH1_log2_FPKM","Lymph node","Prostate",115,7,-1.8712855313673,0.0613055149092114,0.153263787273029,"ns"
"FOLH1_log2_FPKM","Lung","Liver",6,39,-1.75656235611872,0.0789924340935836,0.169269501629108,"ns"
"FOLH1_log2_FPKM","Lymph node","Lung",115,6,-0.884278083102412,0.376546116440795,0.558177261250442,"ns"
"FOLH1_log2_FPKM","Bone","Prostate",73,7,-0.933189299543053,0.350722238556409,0.558177261250442,"ns"
"FOLH1_log2_FPKM","Bone","Soft tissue",73,25,-0.825073274515341,0.409329991583657,0.558177261250442,"ns"
"FOLH1_log2_FPKM","Prostate","Liver",7,39,-1.0039798914426,0.315388306125035,0.558177261250442,"ns"
"FOLH1_log2_FPKM","Lung","Prostate",6,7,-0.64381316586012,0.519696595215547,0.649620744019433,"ns"
"FOLH1_log2_FPKM","Lung","Soft tissue",6,25,-0.396260232656577,0.691913060897542,0.741335422390223,"ns"
"FOLH1_log2_FPKM","Prostate","Soft tissue",7,25,0.416358252122632,0.677147872550346,0.741335422390223,"ns"
"FOLH1_log2_FPKM","Lung","Bone",6,73,0.0260225694611817,0.979239336718262,0.979239336718262,"ns"
