"gene","n_patients","n_events","median_cutoff","n_low","n_high","logrank_p","logrank_p_BH"
"AURKA",80,46,2.82050937539089,40,40,0.00823132567479357,0.196471323145901
"TFRC",80,46,3.87094037979838,40,40,0.016266417507429,0.196471323145901
"CHGA",80,46,0.121673968517307,40,40,0.0226697680552963,0.196471323145901
"MKI67",80,46,2.75001301901966,40,40,0.0516361297255418,0.33231856896511
"BRCA1",80,46,1.59781095592897,40,40,0.063907417108675,0.33231856896511
"NCAM1",80,46,0.188920084308284,40,40,0.104192676270101,0.425487825296019
"CHGB",80,46,0.171155322042553,40,40,0.127142227700795,0.425487825296019
"ERG",80,46,3.25376300469446,40,40,0.133805656989452,0.425487825296019
"MYC",80,46,5.22803867794413,40,40,0.147284247217853,0.425487825296019
"SYP",80,46,1.04672732279284,40,40,0.32893881391782,0.802951901109462
"AMACR",80,46,5.41748481937838,40,40,0.34923788151851,0.802951901109462
"BRCA2",80,46,0.526188776482942,40,40,0.42082741459424,0.802951901109462
"TMPRSS2",80,46,7.75798143725188,40,40,0.423624283388394,0.802951901109462
"CDH1",80,46,6.53030853671048,40,40,0.432358715982018,0.802951901109462
"NKX2-1",80,46,0.294544980845996,40,40,0.56061422989324,0.940538129018372
"TTF1",80,46,2.75407171671952,40,40,0.591949076538869,0.940538129018372
"TP53",80,46,4.17330984236749,40,40,0.622798320087472,0.940538129018372
"VIM",80,46,8.38526366852225,40,40,0.651141781628104,0.940538129018372
"PTEN",80,46,3.15307299689937,40,40,0.715057078105311,0.964257746405484
"FOLH1",80,46,7.68515295931159,40,40,0.762975540889135,0.964257746405484
"NKX3-1",80,46,8.2391993061113,40,40,0.831542091116702,0.964257746405484
"KLK3",80,46,10.8330276162615,40,40,0.914883661243351,0.964257746405484
"INSM1",80,46,0.50003587648386,40,40,0.924249481966941,0.964257746405484
"SCG2",80,46,0.685294574435374,40,40,0.958769129964251,0.964257746405484
"AR",80,46,6.63006075976388,40,40,0.960690698210493,0.964257746405484
"RB1",80,46,3.26487550832947,40,40,0.964257746405484,0.964257746405484
