"gene","n","spearman_rho","p_value","p_adj_BH","abs_rho","direction"
"RDH11",266,0.638701800080018,6.84489041037239e-32,1.02255817840553e-27,0.638701800080018,"Positive"
"NEDD4L",266,0.635296424227837,1.8038037638987e-31,1.34735122144414e-27,0.635296424227837,"Positive"
"STEAP2",266,0.624992946644755,3.14732516313989e-30,1.56726302040489e-26,0.624992946644755,"Positive"
"STEAP1",266,0.611155299739703,1.24300232702467e-28,4.6423029408554e-25,0.611155299739703,"Positive"
"C5ORF30",266,0.601780792876829,1.35580150804639e-27,4.05086374574099e-24,0.601780792876829,"Positive"
"SLC30A4",266,0.599922213844979,2.15720419645938e-27,5.37107891515112e-24,0.599922213844979,"Positive"
"RHPN2",266,0.599233615095615,2.56026806620595e-27,5.46397780586439e-24,0.599233615095615,"Positive"
"KLK3",266,0.591165946108539,1.84792533048466e-26,3.45076956401379e-23,0.591165946108539,"Positive"
"PPP3CA",266,0.590601264662611,2.11771717555577e-26,3.51517520951419e-23,0.590601264662611,"Positive"
"KLK2",266,0.58882502878328,3.24547737393908e-26,4.8484186489276e-23,0.58882502878328,"Positive"
"BMPR1B",266,0.585879262497988,6.55036928100134e-26,8.89599697171627e-23,0.585879262497988,"Positive"
"ADRB2",266,0.575144773105118,7.97658606112831e-25,9.93018493059965e-22,0.575144773105118,"Positive"
"ACPP",266,0.574781983578833,8.66585144934506e-25,9.95839652321276e-22,0.574781983578833,"Positive"
"PIGH",266,0.571059724783657,2.01628013202638e-24,2.15151492088158e-21,0.571059724783657,"Positive"
"RAB6C",266,0.570746439569321,2.16374339077607e-24,2.15494416765358e-21,0.570746439569321,"Positive"
"SLC39A6",266,0.568302779420461,3.7428172610504e-24,3.49462169142699e-21,0.568302779420461,"Positive"
"UNC13B",266,0.565971745135576,6.2861938265909e-24,5.52408526914362e-21,0.565971745135576,"Positive"
"MIA3",266,0.560762623114921,1.97346347458566e-23,1.6378650470464e-20,0.560762623114921,"Positive"
"DHRS7",266,0.557043552276919,4.41201496788027e-23,3.46900482132439e-20,0.557043552276919,"Positive"
"ASTN2",266,0.555545212405616,6.08377821359335e-23,4.54427813664355e-20,0.555545212405616,"Positive"
"GALNT3",266,0.553165083580267,1.01015350893886e-22,7.18603965239885e-20,0.553165083580267,"Positive"
"GOLM1",266,0.550225787066776,1.87896358757466e-22,1.27590168339899e-19,0.550225787066776,"Positive"
"ZMPSTE24",266,0.548405463521003,2.75114391486329e-22,1.78692778018011e-19,0.548405463521003,"Positive"
"HOXB13",266,0.547992653666918,2.99865438952291e-22,1.86653741354512e-19,0.547992653666918,"Positive"
"APPL2",266,0.546400876050631,4.17548445568076e-22,2.4951024913366e-19,0.546400876050631,"Positive"
"RHOU",266,0.546182819779999,4.36861410975742e-22,2.51010485329485e-19,0.546182819779999,"Positive"
"NAV2",266,-0.545238546865361,5.31146239775366e-22,2.93881247259415e-19,0.545238546865361,"Negative"
