"gene","n","spearman_rho","p_value","p_adj_BH","abs_rho","direction"
"RDH11",266,0.638701800080018,6.84489041037239e-32,1.02255817840553e-27,0.638701800080018,"Positive"
"NEDD4L",266,0.635296424227837,1.8038037638987e-31,1.34735122144414e-27,0.635296424227837,"Positive"
"STEAP2",266,0.624992946644755,3.14732516313989e-30,1.56726302040489e-26,0.624992946644755,"Positive"
"STEAP1",266,0.611155299739703,1.24300232702467e-28,4.6423029408554e-25,0.611155299739703,"Positive"
"C5ORF30",266,0.601780792876829,1.35580150804639e-27,4.05086374574099e-24,0.601780792876829,"Positive"
"SLC30A4",266,0.599922213844979,2.15720419645938e-27,5.37107891515112e-24,0.599922213844979,"Positive"
"RHPN2",266,0.599233615095615,2.56026806620595e-27,5.46397780586439e-24,0.599233615095615,"Positive"
"KLK3",266,0.591165946108539,1.84792533048466e-26,3.45076956401379e-23,0.591165946108539,"Positive"
"PPP3CA",266,0.590601264662611,2.11771717555577e-26,3.51517520951419e-23,0.590601264662611,"Positive"
"KLK2",266,0.58882502878328,3.24547737393908e-26,4.8484186489276e-23,0.58882502878328,"Positive"
"BMPR1B",266,0.585879262497988,6.55036928100134e-26,8.89599697171627e-23,0.585879262497988,"Positive"
"ADRB2",266,0.575144773105118,7.97658606112831e-25,9.93018493059965e-22,0.575144773105118,"Positive"
"ACPP",266,0.574781983578833,8.66585144934506e-25,9.95839652321276e-22,0.574781983578833,"Positive"
"PIGH",266,0.571059724783657,2.01628013202638e-24,2.15151492088158e-21,0.571059724783657,"Positive"
"RAB6C",266,0.570746439569321,2.16374339077607e-24,2.15494416765358e-21,0.570746439569321,"Positive"
"SLC39A6",266,0.568302779420461,3.7428172610504e-24,3.49462169142699e-21,0.568302779420461,"Positive"
"UNC13B",266,0.565971745135576,6.2861938265909e-24,5.52408526914362e-21,0.565971745135576,"Positive"
"MIA3",266,0.560762623114921,1.97346347458566e-23,1.6378650470464e-20,0.560762623114921,"Positive"
"DHRS7",266,0.557043552276919,4.41201496788027e-23,3.46900482132439e-20,0.557043552276919,"Positive"
"ASTN2",266,0.555545212405616,6.08377821359335e-23,4.54427813664355e-20,0.555545212405616,"Positive"
"GALNT3",266,0.553165083580267,1.01015350893886e-22,7.18603965239885e-20,0.553165083580267,"Positive"
"GOLM1",266,0.550225787066776,1.87896358757466e-22,1.27590168339899e-19,0.550225787066776,"Positive"
"ZMPSTE24",266,0.548405463521003,2.75114391486329e-22,1.78692778018011e-19,0.548405463521003,"Positive"
"HOXB13",266,0.547992653666918,2.99865438952291e-22,1.86653741354512e-19,0.547992653666918,"Positive"
"APPL2",266,0.546400876050631,4.17548445568076e-22,2.4951024913366e-19,0.546400876050631,"Positive"
"NAV2",266,-0.545238546865361,5.31146239775366e-22,2.93881247259415e-19,0.545238546865361,"Negative"
"CDC25B",266,-0.507908843552596,7.51432682057131e-19,2.04102778859118e-16,0.507908843552596,"Negative"
"MFSD2A",266,-0.501898906690088,2.22777391822363e-18,5.45585484661357e-16,0.501898906690088,"Negative"
"PLEKHG3",266,-0.488762610363092,2.22698495193641e-17,4.32064002558156e-15,0.488762610363092,"Negative"
"FSD1",266,-0.483884426255132,5.10749583498383e-17,8.87219538125854e-15,0.483884426255132,"Negative"
"CCDC150",266,-0.477900602683304,1.38876308636716e-16,2.11701344359582e-14,0.477900602683304,"Negative"
"SH3BP2",266,-0.466219927601493,9.25885235252519e-16,1.15264996078645e-13,0.466219927601493,"Negative"
"PNPLA3",266,-0.462887953842123,1.56993603861582e-15,1.83228706881888e-13,0.462887953842123,"Negative"
"ASGR1",266,-0.456657331265412,4.1501598756543e-15,4.05223780277121e-13,0.456657331265412,"Negative"
"ARHGEF2",266,-0.452560806298128,7.78023967211118e-15,7.26431252885431e-13,0.452560806298128,"Negative"
"ST6GALNAC2",266,-0.451926402820705,8.56906714253671e-15,7.90205518779975e-13,0.451926402820705,"Negative"
"GTPBP2",266,-0.451821200233996,8.70723171721792e-15,7.95618211316709e-13,0.451821200233996,"Negative"
"KSR1",266,-0.448797741651139,1.37562837417205e-14,1.20178434396235e-12,0.448797741651139,"Negative"
"DEFB1",266,-0.447227420143434,1.7413559109768e-14,1.47807477011831e-12,0.447227420143434,"Negative"
"CARHSP1",266,-0.444578799128413,2.58458697464173e-14,2.09843178337896e-12,0.444578799128413,"Negative"
"SFRP5",266,-0.442978677110687,3.27554224453554e-14,2.61675537920409e-12,0.442978677110687,"Negative"
"PDGFC",266,-0.441204665256527,4.25331474044275e-14,3.30938900559762e-12,0.441204665256527,"Negative"
"CDCA7",266,-0.439433436251217,5.51235382092845e-14,4.15904311771971e-12,0.439433436251217,"Negative"
"KRT15",266,-0.438623219868671,6.20340965854123e-14,4.61058392482326e-12,0.438623219868671,"Negative"
"CARMIL3",266,-0.43559971244756,9.61264648294122e-14,6.74194017881027e-12,0.43559971244756,"Negative"
"AGPAT4",266,-0.434782206735835,1.08130830996076e-13,7.47854853819619e-12,0.434782206735835,"Negative"
"FANCA",266,-0.431934085797491,1.62529168549326e-13,1.08879966321004e-11,0.431934085797491,"Negative"
"LIPC",266,-0.429418798972299,2.32197502701162e-13,1.49517176416063e-11,0.429418798972299,"Negative"
"PAQR8",266,-0.428725725698601,2.56048111829956e-13,1.62080624687615e-11,0.428725725698601,"Negative"
"ABCC3",266,-0.42822202846527,2.74866562514437e-13,1.72530738546352e-11,0.42822202846527,"Negative"
