"gene","n_patients","n_events","HR","CI95_lower","CI95_upper","p_value","p_adj_BH","survival_direction","FOLH1_spearman_rho","FOLH1_correlation_p_adj_BH"
"CDCA7",80,46,1.67517606959897,1.26932899786845,2.21078606796933,0.000267581541247292,0.0133790770623646,"Higher expression: shorter OS",-0.439433436251217,4.15904311771971e-12
"CDC25B",80,46,1.53720319225577,1.09476605829924,2.15844621448379,0.0130361335450598,0.325903338626495,"Higher expression: shorter OS",-0.507908843552596,2.04102778859118e-16
"CARHSP1",80,46,1.76413982196168,1.07672648187625,2.89041772800817,0.0242325782028329,0.376582747941674,"Higher expression: shorter OS",-0.444578799128413,2.09843178337896e-12
"DEFB1",80,46,1.21413275866587,1.01558529417789,1.45149635792913,0.0331954093625988,0.376582747941674,"Higher expression: shorter OS",-0.447227420143434,1.47807477011831e-12
"GTPBP2",80,46,1.51759486971418,1.02408442570086,2.24893000106568,0.0376582747941674,0.376582747941674,"Higher expression: shorter OS",-0.451821200233996,7.95618211316709e-13
"STEAP2",80,46,0.850564936841499,0.722464203848382,1.00137931807623,0.0519661935222978,0.433051612685815,"Higher expression: longer OS",0.624992946644755,1.56726302040489e-26
"KSR1",80,46,0.659296460133854,0.396307017286028,1.09680576771446,0.108681489286384,0.492476554234358,"Higher expression: longer OS",-0.448797741651139,1.20178434396235e-12
"CCDC150",80,46,1.81580531874341,0.865577696644397,3.80918890165376,0.114548407671005,0.492476554234358,"Higher expression: shorter OS",-0.477900602683304,2.11701344359582e-14
"MFSD2A",80,46,1.26956659952427,0.938476068676712,1.71746451979357,0.121597631076933,0.492476554234358,"Higher expression: shorter OS",-0.501898906690088,5.45585484661357e-16
"RAB6C",80,46,0.720995784921143,0.475638313453596,1.09292062302456,0.123241352253398,0.492476554234358,"Higher expression: longer OS",0.570746439569321,2.15494416765358e-21
"ACPP",80,46,0.891667225518418,0.769300984053177,1.03349723651043,0.127889545290823,0.492476554234358,"Higher expression: longer OS",0.574781983578833,9.95839652321276e-22
