"gene","n_patients","n_events","median_cutoff","n_low","n_high","logrank_p","logrank_p_BH"
"CDCA7",80,46,2.02936936361354,40,40,0.014906734778123,0.46066184046869
"CDC25B",80,46,3.30072657034448,40,40,0.0184264736187476,0.46066184046869
"GTPBP2",80,46,3.82717119122867,40,40,0.0711494165972041,0.959823479049718
"ACPP",80,46,7.26727383446394,40,40,0.0957266146762237,0.959823479049718
"STEAP2",80,46,6.26955455046617,40,40,0.129608475640851,0.959823479049718
"FANCA",80,46,1.24342712348771,40,40,0.165469372790035,0.959823479049718
"RAB6C",80,46,1.13229040276269,40,40,0.187042163947655,0.959823479049718
"C5ORF30",80,46,3.64048417815602,40,40,0.188454946054414,0.959823479049718
"ASTN2",80,46,2.93844560340139,40,40,0.242449950310366,0.959823479049718
"BMPR1B",80,46,4.04985131401228,40,40,0.242676023305603,0.959823479049718
"CARHSP1",80,46,3.72098236391777,40,40,0.274950102399212,0.959823479049718
"SLC39A6",80,46,6.55711482639933,40,40,0.281546351839977,0.959823479049718
"SFRP5",80,46,0.0701230607451541,40,40,0.293158493477789,0.959823479049718
"LIPC",80,46,0.115415926731571,40,40,0.31947262442266,0.959823479049718
"ARHGEF2",80,46,3.06989557584993,40,40,0.330850431062346,0.959823479049718
"PDGFC",80,46,1.60715513870084,40,40,0.360352158903634,0.959823479049718
"UNC13B",80,46,3.49922792007659,40,40,0.40969492338509,0.959823479049718
"ZMPSTE24",80,46,5.14810523114178,40,40,0.445141188247166,0.959823479049718
"GALNT3",80,46,4.10498191947399,40,40,0.452753768925865,0.959823479049718
"STEAP1",80,46,6.93941587409603,40,40,0.464217287403808,0.959823479049718
"SLC30A4",80,46,4.46878986999577,40,40,0.500555410199142,0.959823479049718
"KSR1",80,46,1.18814500141394,40,40,0.516365195775806,0.959823479049718
"PLEKHG3",80,46,1.46564877377809,40,40,0.593570108809241,0.959823479049718
"DHRS7",80,46,6.53273743923816,40,40,0.597583879276665,0.959823479049718
"RHPN2",80,46,4.85224792950391,40,40,0.652975521111121,0.959823479049718
"ASGR1",80,46,0.494637900068666,40,40,0.655978577752274,0.959823479049718
"PIGH",80,46,3.90574589800637,40,40,0.677821339772268,0.959823479049718
"MFSD2A",80,46,0.89446427890563,40,40,0.711819156843711,0.959823479049718
"RDH11",80,46,7.65178673120457,40,40,0.719563259976195,0.959823479049718
"ADRB2",80,46,2.99057061272333,40,40,0.722302386929215,0.959823479049718
"NAV2",80,46,0.730015326068275,40,40,0.726579624407106,0.959823479049718
"KRT15",80,46,0.0817099201237235,40,40,0.748054197193697,0.959823479049718
"APPL2",80,46,4.47083890756533,40,40,0.761636268511302,0.959823479049718
"AGPAT4",80,46,0.501120835885126,40,40,0.780014870105915,0.959823479049718
"NEDD4L",80,46,4.50169248022578,40,40,0.787166700938732,0.959823479049718
"CCDC150",80,46,0.353264567327138,40,40,0.820854598938754,0.959823479049718
"KLK2",80,46,9.5287887474783,40,40,0.823359945942618,0.959823479049718
"ST6GALNAC2",80,46,0.679761329283338,40,40,0.844630932304548,0.959823479049718
"GOLM1",80,46,6.96892612128675,40,40,0.855929112176473,0.959823479049718
"FSD1",80,46,0.161596660601636,40,40,0.865770110402339,0.959823479049718
"MIA3",80,46,4.58697693009914,40,40,0.87442310988608,0.959823479049718
"ABCC3",80,46,0.995477603365565,40,40,0.876288094543573,0.959823479049718
"CARMIL3",80,46,0.234297956735506,40,40,0.883428461534874,0.959823479049718
"HOXB13",80,46,7.21683289682801,40,40,0.900055228701995,0.959823479049718
"SH3BP2",80,46,2.59324526332712,40,40,0.912294134426769,0.959823479049718
"KLK3",80,46,10.8330276162615,40,40,0.914883661243351,0.959823479049718
"PAQR8",80,46,1.49744975264219,40,40,0.92422792748669,0.959823479049718
"PPP3CA",80,46,5.96298305989057,40,40,0.936026657827326,0.959823479049718
"PNPLA3",80,46,0.146412213243751,40,40,0.940627009468724,0.959823479049718
"DEFB1",80,46,0.222250152243568,40,40,0.999839523057612,0.999839523057612
