"cell_type","n","spearman_rho","p_value","p_adj_BH","abs_rho","direction"
"Monocytic lineage",266,0.251646181385199,3.29718816950565e-05,0.000164859408475282,0.251646181385199,"Positive"
"Neutrophils",266,0.159063441941721,0.00936064565804327,0.0234016141451082,0.159063441941721,"Positive"
"B lineage",266,0.101346114916292,0.0990718300593742,0.144229617190576,0.101346114916292,"Positive"
"Endothelial cells",266,0.00859951447412255,0.888979279856542,0.888979279856542,0.00859951447412255,"Positive"
"Cytotoxic lymphocytes",266,-0.0566388411138085,0.357499575870087,0.397221750966763,0.0566388411138085,"Negative"
"Fibroblasts",266,-0.0894352693265919,0.145754457648228,0.182193072060285,0.0894352693265919,"Negative"
"CD8 T cells",266,-0.100786373897266,0.100960732033403,0.144229617190576,0.100786373897266,"Negative"
"Myeloid dendritic cells",266,-0.11930706562888,0.0519409147032174,0.103881829406435,0.11930706562888,"Negative"
"NK cells",266,-0.22521419087256,0.00021262403122957,0.000708746770765234,0.22521419087256,"Negative"
"T cells",266,-0.352219216687043,3.46563405945533e-09,3.46563405945533e-08,0.352219216687043,"Negative"
