"cell_type",".y.","group1","group2","n1","n2","statistic","p","p_adj_BH"
"T cells","MCP_score","FOLH1 Low","FOLH1 High",133,133,11551,1.60824952102345e-05,0.000160824952102345
"Monocytic lineage","MCP_score","FOLH1 Low","FOLH1 High",133,133,6685,0.000578698109960359,0.00246536068488457
"NK cells","MCP_score","FOLH1 Low","FOLH1 High",133,133,10962,0.00073960820546537,0.00246536068488457
"Myeloid dendritic cells","MCP_score","FOLH1 Low","FOLH1 High",133,133,10294,0.0209058995268567,0.0522647488171418
"Neutrophils","MCP_score","FOLH1 Low","FOLH1 High",133,133,7514,0.034006402864387,0.068012805728774
"B lineage","MCP_score","FOLH1 Low","FOLH1 High",133,133,7729,0.0755205909819585,0.125867651636598
"Fibroblasts","MCP_score","FOLH1 Low","FOLH1 High",133,133,9835,0.114555971243814,0.163651387491164
"CD8 T cells","MCP_score","FOLH1 Low","FOLH1 High",133,133,9558,0.255743295812424,0.31967911976553
"Cytotoxic lymphocytes","MCP_score","FOLH1 Low","FOLH1 High",133,133,9274,0.494089984362857,0.548988871514286
"Endothelial cells","MCP_score","FOLH1 Low","FOLH1 High",133,133,8854,0.988554071570151,0.988554071570151
