"cell_type","n_patients","n_events","median_MCP_cutoff","n_low","n_high","logrank_p","logrank_p_BH"
"Cytotoxic lymphocytes",80,46,0.795331128214286,40,40,0.152813749816475,0.952547807637421
"Neutrophils",80,46,6.47998139385714,40,40,0.233119078561497,0.952547807637421
"Fibroblasts",80,46,84.806248434875,40,40,0.373620395297335,0.952547807637421
"T cells",80,46,1.04587178653571,40,40,0.479852397169009,0.952547807637421
"Monocytic lineage",80,46,8.63711077628571,40,40,0.576130318988789,0.952547807637421
"CD8 T cells",80,46,0.713669659,40,40,0.753164938556992,0.952547807637421
"NK cells",80,46,0.0770785295625,40,40,0.77658037734904,0.952547807637421
"Endothelial cells",80,46,5.12062091216129,40,40,0.794811066908121,0.952547807637421
"B lineage",80,46,1.1033012214375,40,40,0.899014244883675,0.952547807637421
"Myeloid dendritic cells",80,46,0.6066508535,40,40,0.952547807637421,0.952547807637421
